year,adolesc_birthrate_per1000wm_10_14yr,adolesc_birthrate_per1000wm_15_19yr
2000,0.9,47.7
2001,0.8,45.0
2002,0.7,42.6
2003,0.6,41.1
2004,0.6,40.5
2005,0.6,39.7
2006,0.6,41.1
2007,0.6,41.5
2008,0.6,40.2
2009,0.5,37.9
2010,0.4,34.2
2011,0.4,31.3
2012,0.4,29.4
2013,0.3,26.5
2014,0.3,24.2
2015,0.2,22.3
2016,0.2,20.3
2017,,
