year,total_unemp_rate,male,female,16-19_years
2007,5,,,
2008,8,,,
2009,8,,,
2010,8,,,
2011,7,,,
2012,8,50,9,
2013,8,8,9,
2014,9,90,8,
2015,8,9,8,
2016,8,9,10,
2017,9,10,11,
