year,manuf_va_as_pctgdp,manuf_va_percapita
2000,15.1,5677.4
2001,13.9,5394.0
2002,13.4,5395.6
2003,13.3,5615.8
2004,13.2,5924.8
2005,13.0,6002.6
2006,13.0,6240.9
2007,12.8,6379.9
2008,12.3,6137.4
2009,12.0,5620.1
2010,12.2,5868.9
2011,12.3,5841.4
2012,12.3,5817.5
2013,12.2,5891.3
2014,12.1,5905.2
2015,12.0,5953.2
2016,11.7,5903.6
