year,pctteachers_prep,pctteachers_prim,pctteachers_lowersec,pctteachers_uppersec,pctteachers_multiple levels
1999,90.07415859,91.58603398,86.02198296,89.15533042,86.43392383
2000,,,,,
2001,,,,,
2002,,,,,
2003,93.547,92.753,90.785,89.097,87.682
2004,,,,,
2005,,,,,
2006,,,,,
2007,92.55402794,94.05145042,92.25566683,90.79544544,91.98862072
2008,,,,,
2009,,,,,
2010,,,,,
2011,93.915,94.142,93.911,93.386,92.921
2012,,,,,
2013,,,,,
2014,,,,,
2015,93.863,94.810,93.787,92.428,91.313
