year,road_trafficdeathrate_100000
2000,14.9
2001,14.8
2002,15.2
2003,14.9
2004,14.7
2005,14.6
2006,14.5
2007,13.8
2008,12.3
2009,11.1
2010,10.7
2011,10.6
2012,10.9
2013,10.5
2014,10.3
2015,10.9
2016,
2017,
