year,disaster_losses,dsast_loss_pct_global_gdp,dsast_loss_pct_us_gdp
2000,0,0,0
2001,19.2,0.06,0.18
2002,0,0,0
2003,0,0,0
2004,29.4,0.07,0.24
2005,110.4,0.23,0.84
2006,0,0,0
2007,0,0,0
2008,19.1,0.03,0.13
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,45.9,0.06,0.28
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
