year,ldc_sids_rcd_spprt_climate
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2008,not_applicable
2009,not_applicable
2010,not_applicable
2011,not_applicable
2012,not_applicable
2013,not_applicable
2014,not_applicable
2015,not_applicable
