year,net_outflow_dbt_sctrs_pct_exprts
2000,4.8
2001,-0.2
2002,6.2
2003,1.4
2004,9.1
2005,6.2
2006,24.1
2007,14.0
2008,-13.3
2009,19.7
2010,6.5
2011,3.7
2012,6.6
2013,8.5
2014,6.4
2015,-1.6
2016,1.2
