year,200_kbps_lt_1.5_mbps_sbscrptns,1.5_mbps_lt_10_mbps_sbscriptns,10_mbps_gr_sbscrpts
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,7881000,33542000,51145000
2013,4599000,27268000,64165000
2014,3240000,23682000,70888000
2015,2061000,20303000,79830000
2016,1428000,17623000,87276000
