year,md_inadqt_hs,sv_inadqt_hs,tot_inadqt_hs
2000,,,
2001,3.99742,2.05732,6.05474
2002,,,
2003,3.81708,1.94087,5.75795
2004,,,
2005,3.57281,1.88559,5.45840
2006,,,
2007,3.78186,1.75856,5.54042
2008,,,
2009,3.71077,1.82668,5.53745
2010,,,
2011,3.83114,2.00207,5.8332
2012,,,
2013,3.69158,1.85935,5.55093
2014,,,
2015,4.22536,1.25475,5.48011
2016,,,
2017,,,
