year,TourismEmpl,TotTourismEmpl,DirectTourismEmpl
2000,.69,8552.7,5926.4
2001,.69,8356.1,5784.5
2002,.69,8109.9,5630.6
2003,.70,7972.6,5545.6
2004,.70,7989.2,5561.1
2005,.70,8003.9,5588.6
2006,.70,7972.0,5577.7
2007,.70,7923.6,5547.8
2008,.70,7702.2,5400.8
2009,.70,7139.0,4994.1
2010,.70,7013.3,4925.1
2011,.70,7260.3,5106.9
2012,.64,8134.7,5175.7
2013,.69,7343.2,5063.6
2014,.70,7398.2,5174.2
2015,.70,7508.5,5380
2016,.69,7715.1,5573
