year,pct_18y_over_safe_walking,Male,Female
2000,66,,
2001,69,,
2002,64,,
2003,64,,
2004,67,79,57
2005,62,76,50
2006,63,75,52
2007,62,74,53
2008,63,72,55
2009,66,78,55
2010,63,78,50
2011,61,70,54
2012,,,
2013,65,76,56
2014,63,73,55
2015,64,,
2016,64,,
2017,69,,
