year,avg_hrs_day_hh_act_15_over_men,avg_hrs_day_hh_act_15_over_wm,avg_hrs_day_hh_act_15_24_yrs_men,avg_hrs_day_hh_act_15_24_yrs_wm,avg_hrs_day_hh_act_25_34_yrs_men,avg_hrs_day_hh_act_25_34_yrs_wm,avg_hrs_day_hh_act_25_54_yrs_men,avg_hrs_day_hh_act_25_54_yrs_wm,avg_hrs_day_hh_act_35_44_yrs_men,avg_hrs_day_hh_act_35_44_yrs_wm,avg_hrs_day_hh_act_45_54_yrs_men,avg_hrs_day_hh_act_45_54_yrs_wm,avg_hrs_day_hh_act_55_64_yrs_men,avg_hrs_day_hh_act_55_64_yrs_wm,avg_hrs_day_hh_act_65_over_men,avg_hrs_day_hh_act_65_over_wm,avg_hrs_day_care_help_hh_members_15_over_men,avg_hrs_day_care_help_hh_members_15_over_wm,avg_hrs_day_care_help_hh_members_15_24_yrs_men,avg_hrs_day_care_help_hh_members_15_24_yrs_wm,avg_hrs_day_care_help_hh_members_25_34_yrs_men,avg_hrs_day_care_help_hh_members_25_34_yrs_wm,avg_hrs_day_care_help_hh_members_25_54_yrs_men,avg_hrs_day_care_help_hh_members_25_54_yrs_wm,avg_hrs_day_care_help_hh_members_35_44_yrs_men,avg_hrs_day_care_help_hh_members_35_44_yrs_wm,avg_hrs_day_care_help_hh_members_45_54_yrs_men,avg_hrs_day_care_help_hh_members_45_54_yrs_wm,avg_hrs_day_care_help_hh_members_55_64_yrs_men,avg_hrs_day_care_help_hh_members_55_64_yrs_wm,avg_hrs_day_care_help_hh_members_65_over_men,avg_hrs_day_care_help_hh_members_65_over_wm,avg_hrs_day_care_help_nonhh_members_15_over_men,avg_hrs_day_care_help_nonhh_members_15_over_wm,avg_hrs_day_care_help_nonhh_members_15_24_yrs_men,avg_hrs_day_care_help_nonhh_members_15_24_yrs_wm,avg_hrs_day_care_help_nonhh_members_25_34_yrs_men,avg_hrs_day_care_help_nonhh_members_25_34_yrs_wm,avg_hrs_day_care_help_nonhh_members_25_54_yrs_men,avg_hrs_day_care_help_nonhh_members_25_54_yrs_wm,avg_hrs_day_care_help_nonhh_members_35_44_yrs_men,avg_hrs_day_care_help_nonhh_members_35_44_yrs_wm,avg_hrs_day_care_help_nonhh_members_45_54_yrs_men,avg_hrs_day_care_help_nonhh_members_45_54_yrs_wm,avg_hrs_day_care_help_nonhh_members_55_64_yrs_men,avg_hrs_day_care_help_nonhh_members_55_64_yrs_wm,avg_hrs_day_care_help_nonhh_members_65_over_men,avg_hrs_day_care_help_nonhh_members_65_over_wm,avg_hrs_day_purch_goods_services_15_over_men,avg_hrs_day_purch_goods_services_15_over_wm,avg_hrs_day_purch_goods_services_15_24_yrs_men,avg_hrs_day_purch_goods_services_15_24_yrs_wm,avg_hrs_day_purch_goods_services_25_34_yrs_men,avg_hrs_day_purch_goods_services_25_34_yrs_wm,avg_hrs_day_purch_goods_services_25_54_yrs_men,avg_hrs_day_purch_goods_services_25_54_yrs_wm,avg_hrs_day_purch_goods_services_35_44_yrs_men,avg_hrs_day_purch_goods_services_35_44_yrs_wm,avg_hrs_day_purch_goods_services_45_54_yrs_men,avg_hrs_day_purch_goods_services_45_54_yrs_wm,avg_hrs_day_purch_goods_services_55_64_yrs_men,avg_hrs_day_purch_goods_services_55_64_yrs_wm,avg_hrs_day_purch_goods_services_65_over_men,avg_hrs_day_purch_goods_services_65_over_wm
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1.33,2.29,0.65,1.02,1.12,2.08,1.33,2.38,1.39,2.57,1.47,2.47,1.77,2.66,1.89,3.03,0.35,0.75,0.10,0.47,0.60,1.63,0.53,1.17,0.70,1.41,0.29,0.48,0.09,0.20,0.15,0.11,0.25,0.31,0.33,0.27,0.24,0.21,0.21,0.27,0.16,0.21,0.23,0.38,0.28,0.52,0.30,0.31,0.69,0.93,0.55,0.81,0.69,0.87,0.68,0.95,0.67,0.97,0.67,1,0.69,1.1,0.91,0.88
2004,1.33,2.26,0.62,1.10,1.02,2.03,1.32,2.34,1.33,2.47,1.59,2.49,1.69,2.66,2.00,2.88,0.36,0.76,0.13,0.53,0.53,1.74,0.54,1.17,0.76,1.32,0.33,0.48,0.14,0.21,0.13,0.10,0.25,0.30,0.23,0.26,0.24,0.25,0.24,0.27,0.25,0.19,0.23,0.36,0.28,0.49,0.29,0.28,0.66,0.97,0.5,0.75,0.68,0.99,0.65,1.03,0.61,1.01,0.67,1.09,0.69,1.07,0.86,0.9
2005,1.35,2.27,0.75,1.13,1.08,2.02,1.34,2.37,1.35,2.45,1.58,2.62,1.81,2.64,1.80,2.82,0.34,0.73,0.15,0.59,0.61,1.57,0.52,1.12,0.65,1.36,0.30,0.46,0.13,0.18,0.09,0.09,0.22,0.25,0.23,0.22,0.24,0.17,0.19,0.21,0.16,0.18,0.18,0.27,0.29,0.42,0.25,0.27,0.63,0.96,0.47,0.82,0.59,1.04,0.61,1,0.66,1.01,0.57,0.96,0.71,0.98,0.83,0.97
2006,1.33,2.23,0.72,1.09,1.03,2.08,1.28,2.32,1.28,2.45,1.50,2.42,1.70,2.49,2.02,2.84,0.33,0.71,0.11,0.55,0.50,1.64,0.49,1.09,0.66,1.30,0.32,0.40,0.13,0.19,0.15,0.12,0.18,0.24,0.21,0.20,0.11,0.14,0.15,0.22,0.14,0.24,0.21,0.27,0.21,0.35,0.25,0.26,0.64,0.96,0.42,0.81,0.62,0.99,0.64,1.02,0.66,1.07,0.64,1,0.79,1.01,0.82,0.9
2007,1.43,2.22,0.77,1.00,1.25,1.92,1.40,2.30,1.33,2.43,1.60,2.52,2.01,2.74,1.89,2.79,0.33,0.72,0.11,0.38,0.57,1.68,0.51,1.17,0.67,1.46,0.31,0.43,0.14,0.18,0.08,0.12,0.17,0.23,0.20,0.18,0.13,0.16,0.16,0.17,0.18,0.14,0.17,0.19,0.20,0.44,0.14,0.30,0.63,0.92,0.54,0.75,0.58,0.9,0.62,0.91,0.61,0.89,0.67,0.95,0.68,1.21,0.77,0.89
2008,1.30,2.13,0.73,1.00,1.06,1.89,1.29,2.19,1.33,2.37,1.48,2.29,1.63,2.52,1.74,2.72,0.36,0.70,0.13,0.52,0.62,1.52,0.56,1.08,0.72,1.34,0.35,0.45,0.15,0.24,0.08,0.09,0.18,0.27,0.16,0.30,0.12,0.16,0.15,0.20,0.18,0.15,0.15,0.29,0.30,0.49,0.22,0.24,0.6,0.92,0.44,0.83,0.58,0.87,0.58,0.94,0.58,1.01,0.57,0.94,0.67,1.05,0.82,0.86
2009,1.33,2.24,0.69,1.14,1.04,1.88,1.28,2.26,1.27,2.39,1.52,2.47,1.67,2.62,1.98,2.90,0.37,0.70,0.18,0.41,0.65,1.68,0.58,1.16,0.77,1.46,0.34,0.43,0.09,0.15,0.07,0.07,0.19,0.22,0.23,0.20,0.16,0.16,0.18,0.19,0.19,0.17,0.18,0.25,0.20,0.35,0.21,0.21,0.64,0.88,0.48,0.75,0.61,0.78,0.64,0.89,0.65,0.91,0.66,0.96,0.74,1.01,0.71,0.85
