year,rd_aspct_gdp
2000,2.61
2001,2.62
2002,2.53
2003,2.53
2004,2.47
2005,2.48
2006,2.53
2007,2.61
2008,2.75
2009,2.79
2010,2.72
2011,2.75
2012,2.68
2013,2.72
2014,2.73
2015,2.73
2016,
2017,
