year,pct_pop_electricity
2000,
2001,99.9360
2002,
2003,99.9197
2004,
2005,99.9421
2006,
2007,99.9902
2008,
2009,99.9843
2010,
2011,99.9867
2012,
2013,99.9829
2014,
2015,99.8808
2016,
2017,
