year,dmstc_mtrl_cnsmptn,dmstc_mtrl_cnsmptn_pr_cpt,dmstc_mtrl_cnsmptn_pct_gdp
2000,2452.9,8686,23.85
2001,2525.2,8853,23.77
2002,2598.6,9024,23.67
2003,2721.6,9364,23.64
2004,2900.3,9890,23.63
2005,3080.3,10407,23.53
2006,3235.8,10829,23.35
2007,3361.6,11142,23.22
2008,3375.7,11084,22.93
2009,3198.4,10410,22.18
2010,3362.8,10855,22.47
2011,3596.5,11523,23.18
2012,3739.1,11894,23.14
2013,3834.5,12113,22.97
2014,3970.5,12451,22.78
2015,4033.2,12558,22.26
2016,4121.4,12744,22.13
