year,pct_vlnt_vctmns,Males,Females
2000,46.0,43.9,48.8
2001,49.0,48.4,49.7
2002,50.8,46.9,54.9
2003,47.5,44.9,50.4
2004,50.3,47.2,53.8
2005,45.8,42.0,51.0
2006,46.6,44.8,48.9
2007,44.9,43.6,46.6
2008,46.4,41.4,51.9
2009,44.1,39.9,48.3
2010,51.1,47.8,54.6
2011,49.0,41.8,58.5
2012,44.2,42.3,47.3
2013,45.6,44.4,47.1
2014,46.0,43.0,49.7
2015,46.5,45.4,47.5
2016,42.1,44.3,40.2
