year,tot_prm_eny_con_dol_gdp
2000,7.87
2001,7.58
2002,7.56
2003,7.38
2004,7.27
2005,7.04
2006,6.81
2007,6.79
2008,6.67
2009,6.53
2010,6.59
2011,6.45
2012,6.15
2013,6.22
2014,6.15
2015,5.94
2016,5.85
