year,annl_mn_pm_cities_pw_pm2_5,annl_mn_pm_cities_pw_pm10
2000,15.7,33.3
2001,15.4,31.9
2002,14.4,30.3
2003,14.2,31.8
2004,13.7,29.6
2005,14.3,32.0
2006,13.0,34.6
2007,13.2,33.1
2008,12.1,30.5
2009,11.0,27.5
2010,10.9,26.4
2011,11.1,27.9
2012,10.5,26.7
2013,10.3,25.0
2014,9.8,25.1
2015,9.9,24.9
2016,9.0,24.7
