year,rev_rape_def,legacy_rape_def
2000,,90,178
2001,,90,863
2002,,95,235
2003,,93,883
2004,,95,089
2005,,94,347
2006,,94,472
2007,,92,160
2008,,90,750
2009,,89,241
2010,,85,593
2011,,84,175
2012,,85,141
2013,113,695,82,109
2014,118,027,84,864
2015,126,134,91,261
2016,130,603,95,730
