year,pct_pop_cvr_3g,pct_pop_cvr_2g
2000,n/a,95.0
2001,n/a,97.0
2002,n/a,97.3
2003,n/a,99.2
2004,n/a,99.8
2005,n/a,100.0
2006,n/a,n/a
2007,82.0,99.6
2008,92.3,99.6
2009,98.1,99.6
2010,98.5,99.8
2011,99.4,99.8
2012,99.5,99.9
2013,99.7,99.9
2014,n/a,n/a
2015,99.9,99.9
2016,99.9,100.0
