year,TB_per100k
2000,5.8
2001,5.6
2002,5.2
2003,5.1
2004,5.0
2005,4.8
2006,4.6
2007,4.4
2008,4.2
2009,3.8
2010,3.6
2011,3.4
2012,3.2
2013,3.0
2014,3.0
2015,3.0
2016,2.9
