year,pct_pop_safewaterserv
2000,90.7
2001,90.8
2002,93.7
2003,91
2004,92.2
2005,91
2006,91.7
2007,93.6
2008,94.2
2009,95.0
2010,92.2
2011,93.2
2012,94.7
2013,91.2
2014,92.5
2015,91.1
2016,93.6
2017,94.2
