year,coverage_protected_marine
2000,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,4
2007,4
2008,4
2009,8
2010,8
2011,8
2012,8
2013,8
2014,16
2015,16
2016,26
2017,26
